,signals,site,timestamp,data_name
SITE_SM_batteryInstPower,-3119.0,134a3fa6,2022-03-03 21:06:06+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,548.8940002441409,134a3fa6,2022-03-03 21:06:06+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,3140.8610473632807,134a3fa6,2022-03-03 21:06:06+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-27.999999999999545,8d9fed87,2022-03-03 21:06:06+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-2275.0000000000014,8d9fed87,2022-03-03 21:06:06+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,4443.8,8d9fed87,2022-03-03 21:06:06+00:00,SITE_SM_solarInstPower
SYNC_GridState,,8d9fed87,2022-03-03 21:06:06+00:00,SYNC_GridState
SITE_SM_batteryInstPower,0.0,5688ed10,2022-03-03 21:06:06+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-2613.721020507811,5688ed10,2022-03-03 21:06:06+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,2969.7469482421866,5688ed10,2022-03-03 21:06:06+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.0,07333ad0,2022-03-03 21:06:06+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,67.01999816893982,07333ad0,2022-03-03 21:06:06+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,716.316998291021,07333ad0,2022-03-03 21:06:06+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,10.0,38c8ae33,2022-03-03 21:06:06+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-5569.136962890625,38c8ae33,2022-03-03 21:06:06+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,6368.86298828125,38c8ae33,2022-03-03 21:06:06+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,1.000000000000227,adc42b19,2022-03-03 21:06:06+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-3371.8099243164065,adc42b19,2022-03-03 21:06:06+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,5502.507805408091,adc42b19,2022-03-03 21:06:06+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-10.0,e9ba8cec,2022-03-03 21:06:06+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-5860.945971679691,e9ba8cec,2022-03-03 21:06:06+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,6757.563891601563,e9ba8cec,2022-03-03 21:06:06+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-10.0,e12c2148,2022-03-03 21:06:06+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,,e12c2148,2022-03-03 21:06:06+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,,e12c2148,2022-03-03 21:06:06+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-126.99999999999477,4b78aae6,2022-03-03 21:06:06+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,0.8580017089842741,4b78aae6,2022-03-03 21:06:06+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,916.8569079321146,4b78aae6,2022-03-03 21:06:06+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-8.999999999999773,e724ca65,2022-03-03 21:06:06+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-3055.7569824218745,e724ca65,2022-03-03 21:06:06+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,3968.7720581054687,e724ca65,2022-03-03 21:06:06+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.0,135433c1,2022-03-03 21:06:06+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,653.424999999999,135433c1,2022-03-03 21:06:06+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,44.94399986267185,135433c1,2022-03-03 21:06:06+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-8.833333333333258,02ebf5c7,2022-03-03 21:06:07+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-5117.824572753906,02ebf5c7,2022-03-03 21:06:07+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,5609.192824923199,02ebf5c7,2022-03-03 21:06:07+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-10.0,c8eb2d3d,2022-03-03 21:06:07+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-130.40616302490173,c8eb2d3d,2022-03-03 21:06:07+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,10853.816951497394,c8eb2d3d,2022-03-03 21:06:07+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-101.16666666666674,2b98cbdd,2022-03-03 21:06:07+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,,2b98cbdd,2022-03-03 21:06:07+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,,2b98cbdd,2022-03-03 21:06:07+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-2088.833333333333,55af2f9b,2022-03-03 21:06:07+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,0.57397613525377,55af2f9b,2022-03-03 21:06:07+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,8098.39405110677,55af2f9b,2022-03-03 21:06:07+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,8.833333333333258,e6bcf7cf,2022-03-03 21:06:07+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-6022.742126464844,e6bcf7cf,2022-03-03 21:06:07+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,7178.956258566293,e6bcf7cf,2022-03-03 21:06:07+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-1.166666666666742,7da0acb7,2022-03-03 21:06:07+00:00,SITE_SM_batteryInstPower
